movieId,genreId
1,Q319221
1,Q202866
1,Q2143665
1,Q157443
1,Q157394
2,Q319221
2,Q2143665
2,Q157394
3,Q157443
3,Q1054574
4,Q157443
4,Q130232
4,Q1054574
5,Q157443
6,Q188473
6,Q959790
6,Q2484376
7,Q157443
7,Q1054574
8,Q319221
8,Q2143665
9,Q188473
10,Q188473
10,Q319221
10,Q2484376
11,Q157443
11,Q130232
11,Q1054574
12,Q157443
12,Q200092
13,Q319221
13,Q202866
13,Q2143665
14,Q130232
15,Q188473
15,Q319221
15,Q1054574
16,Q959790
16,Q130232
17,Q130232
17,Q1054574
18,Q157443
19,Q157443
20,Q188473
20,Q157443
20,Q959790
20,Q130232
20,Q2484376
21,Q157443
21,Q959790
21,Q2484376
22,Q959790
22,Q130232
22,Q200092
22,Q1200678
22,Q2484376
23,Q188473
23,Q959790
23,Q2484376
24,Q130232
24,Q471839
25,Q130232
25,Q1054574
26,Q130232
27,Q2143665
27,Q130232
28,Q130232
28,Q1054574
29,Q319221
29,Q130232
29,Q157394
29,Q1200678
29,Q471839
30,Q959790
30,Q130232
31,Q130232
32,Q1200678
32,Q471839
32,Q2484376
33,Q319221
33,Q1054574
33,Q8530121
34,Q2143665
34,Q130232
35,Q130232
35,Q1054574
36,Q959790
36,Q130232
37,Q93204
37,Q8530121
38,Q2143665
38,Q157443
39,Q157443
39,Q1054574
40,Q130232
41,Q130232
41,Q369747
42,Q188473
42,Q959790
42,Q130232
43,Q130232
44,Q188473
44,Q319221
44,Q157394
45,Q157443
45,Q130232
45,Q2484376
46,Q130232
46,Q1054574
47,Q1200678
47,Q2484376
48,Q202866
48,Q2143665
48,Q130232
48,Q842256
48,Q1054574
49,Q130232
49,Q1054574
50,Q959790
50,Q1200678
50,Q2484376
51,Q188473
51,Q130232
51,Q2484376
52,Q157443
52,Q130232
52,Q1054574
53,Q319221
53,Q130232
54,Q2143665
54,Q157443
55,Q130232
56,Q319221
56,Q2143665
56,Q157443
56,Q157394
57,Q130232
58,Q157443
58,Q130232
58,Q1054574
59,Q130232
59,Q1200678
60,Q319221
60,Q2143665
60,Q157394
61,Q130232
61,Q2484376
62,Q130232
63,Q157443
63,Q959790
64,Q157443
64,Q1054574
65,Q157443
66,Q188473
66,Q471839
66,Q2484376
67,Q130232
68,Q157443
68,Q1054574
69,Q157443
70,Q188473
70,Q157443
70,Q200092
70,Q2484376
71,Q188473
72,Q157443
72,Q130232
73,Q130232
73,Q369747
74,Q130232
74,Q1054574
75,Q157443
75,Q130232
76,Q188473
76,Q471839
76,Q2484376
77,Q93204
78,Q188473
78,Q959790
78,Q130232
78,Q2484376
79,Q130232
79,Q2484376
80,Q2143665
80,Q130232
81,Q959790
81,Q130232
81,Q1054574
82,Q157443
82,Q130232
83,Q130232
83,Q1054574
84,Q157443
84,Q130232
85,Q130232
85,Q1054574
86,Q188473
86,Q319221
86,Q130232
87,Q2143665
87,Q157443
88,Q157443
89,Q188473
89,Q2484376
90,Q130232
92,Q130232
92,Q200092
92,Q2484376
93,Q157443
93,Q200092
93,Q1054574
94,Q157443
94,Q130232
94,Q1054574
95,Q188473
95,Q319221
95,Q2484376
96,Q157443
96,Q130232
97,Q959790
97,Q130232
98,Q188473
98,Q2484376
100,Q130232
100,Q2484376
101,Q319221
101,Q157443
101,Q959790
101,Q1054574
102,Q157443
103,Q1200678
103,Q471839
103,Q2484376
104,Q157443
105,Q130232
105,Q1054574
106,Q157443
106,Q130232
107,Q319221
107,Q2143665
107,Q157443
107,Q842256
109,Q157443
109,Q130232
109,Q2484376
110,Q188473
110,Q130232
110,Q369747
111,Q959790
111,Q130232
111,Q2484376
112,Q188473
112,Q319221
112,Q157443
112,Q959790
113,Q130232
113,Q1200678
114,Q130232
115,Q157443
116,Q93204
117,Q959790
117,Q130232
118,Q157443
118,Q1054574
119,Q157443
120,Q319221
120,Q157443
120,Q130232
121,Q130232
122,Q157443
122,Q1054574
123,Q130232
123,Q1200678
123,Q1054574
124,Q130232
125,Q157443
126,Q319221
126,Q2143665
126,Q157394
127,Q130232
128,Q93204
129,Q157443
129,Q1054574
130,Q130232
131,Q130232
131,Q1054574
132,Q2484376
133,Q157443
133,Q130232
135,Q157443
136,Q93204
137,Q93204
138,Q130232
139,Q188473
139,Q130232
140,Q130232
140,Q1054574
141,Q157443
142,Q130232
143,Q130232
144,Q157443
145,Q188473
145,Q157443
145,Q959790
145,Q130232
145,Q2484376
146,Q319221
146,Q2143665
147,Q130232
148,Q130232
149,Q959790
149,Q130232
149,Q2484376
150,Q319221
150,Q130232
150,Q8530121
151,Q188473
151,Q130232
151,Q1054574
151,Q369747
152,Q130232
152,Q200092
153,Q188473
153,Q319221
153,Q157443
153,Q959790
154,Q130232
155,Q319221
155,Q130232
155,Q369747
156,Q157443
156,Q130232
157,Q157443
157,Q369747
158,Q319221
158,Q2143665
159,Q959790
159,Q130232
159,Q1200678
160,Q188473
160,Q319221
160,Q1200678
160,Q471839
161,Q130232
161,Q2484376
161,Q369747
163,Q188473
163,Q1054574
163,Q172980
164,Q959790
164,Q185867
164,Q1200678
164,Q2484376
165,Q188473
165,Q959790
165,Q2484376
166,Q157443
166,Q959790
166,Q130232
167,Q130232
168,Q188473
168,Q130232
168,Q1054574
169,Q319221
169,Q2143665
169,Q130232
170,Q188473
170,Q319221
170,Q959790
170,Q2484376
171,Q157443
171,Q130232
172,Q188473
172,Q471839
172,Q2484376
173,Q188473
173,Q959790
173,Q471839
174,Q157443
175,Q130232
176,Q157443
177,Q200092
178,Q157443
178,Q130232
179,Q130232
179,Q1054574
180,Q157443
180,Q1054574
181,Q188473
181,Q2143665
182,Q130232
182,Q1054574
183,Q157443
183,Q200092
183,Q2484376
184,Q130232
185,Q188473
185,Q959790
185,Q2484376
186,Q157443
186,Q1054574
187,Q157443
188,Q157394
188,Q200092
188,Q1200678
189,Q157443
189,Q157394
190,Q2484376
191,Q130232
191,Q1054574
193,Q130232
194,Q157443
194,Q130232
195,Q157443
195,Q130232
195,Q1054574
196,Q200092
196,Q471839
197,Q130232
198,Q188473
198,Q959790
198,Q130232
198,Q1200678
198,Q471839
198,Q2484376
199,Q130232
199,Q842256
199,Q1054574
200,Q2484376
201,Q130232
201,Q157394
202,Q130232
202,Q1054574
203,Q157443
204,Q188473
205,Q157443
205,Q130232
207,Q130232
207,Q1054574
208,Q188473
208,Q319221
208,Q471839
209,Q130232
210,Q172980
211,Q130232
212,Q319221
212,Q157443
212,Q959790
212,Q1200678
213,Q130232
214,Q130232
214,Q369747
215,Q130232
215,Q1054574
216,Q157443
217,Q130232
217,Q2484376
218,Q157443
218,Q130232
219,Q130232
220,Q200092
222,Q130232
222,Q1054574
223,Q157443
225,Q130232
225,Q2484376
226,Q2484376
227,Q188473
227,Q2484376
228,Q157443
229,Q130232
229,Q2484376
230,Q130232
230,Q2484376
231,Q319221
231,Q157443
232,Q157443
232,Q130232
232,Q1054574
233,Q130232
234,Q157443
235,Q157443
235,Q130232
236,Q188473
236,Q157443
236,Q1054574
237,Q157443
237,Q1054574
238,Q319221
238,Q2143665
239,Q202866
239,Q2143665
239,Q157443
239,Q1054574
240,Q2484376
241,Q2143665
241,Q130232
242,Q130232
242,Q842256
243,Q2143665
243,Q157443
243,Q157394
244,Q202866
244,Q2143665
245,Q959790
245,Q130232
247,Q959790
247,Q130232
248,Q157443
249,Q130232
249,Q1054574
250,Q2143665
250,Q157443
251,Q188473
252,Q157443
252,Q1054574
253,Q130232
253,Q200092
254,Q130232
255,Q157443
256,Q157443
256,Q471839
257,Q1200678
257,Q2484376
258,Q319221
258,Q2143665
258,Q157443
258,Q157394
258,Q1054574
259,Q959790
259,Q130232
259,Q2484376
260,Q188473
260,Q319221
260,Q471839
261,Q130232
262,Q2143665
262,Q130232
263,Q130232
264,Q130232
265,Q130232
265,Q157394
265,Q1054574
266,Q130232
266,Q1054574
266,Q369747
266,Q172980
267,Q157443
268,Q959790
268,Q130232
269,Q130232
270,Q130232
270,Q1054574
271,Q130232
272,Q157443
272,Q130232
273,Q130232
273,Q200092
273,Q471839
274,Q157443
275,Q157443
276,Q157443
276,Q1054574
