movieId,countryId
1,Q30
2,Q30
3,Q30
4,Q30
5,Q30
6,Q30
7,Q183
7,Q30
8,Q30
9,Q30
10,Q145
10,Q30
11,Q30
12,Q142
12,Q30
13,Q30
13,Q145
14,Q30
15,Q30
15,Q38
15,Q183
15,Q142
16,Q30
16,Q142
17,Q30
17,Q145
18,Q30
19,Q30
20,Q30
21,Q30
22,Q30
23,Q142
23,Q30
24,Q30
25,Q30
26,Q30
26,Q145
27,Q30
28,Q145
28,Q30
28,Q142
29,Q142
29,Q183
29,Q29
29,Q31
29,Q30
30,Q142
30,Q148
31,Q30
32,Q30
33,Q142
33,Q30
34,Q408
34,Q30
34,Q145
35,Q145
35,Q142
36,Q145
36,Q30
37,Q30
38,Q30
39,Q30
40,Q258
40,Q30
41,Q145
41,Q30
42,Q30
43,Q30
43,Q145
44,Q30
45,Q30
45,Q145
45,Q16
46,Q30
47,Q30
48,Q30
48,Q17
49,Q16
50,Q30
50,Q183
51,Q30
52,Q30
53,Q38
53,Q142
53,Q39
53,Q40
54,Q30
55,Q142
55,Q30
56,Q30
56,Q16
57,Q30
58,Q38
58,Q142
58,Q31
59,Q16
59,Q145
59,Q142
60,Q30
61,Q30
62,Q30
63,Q30
64,Q30
65,Q30
66,Q30
66,Q17
66,Q145
67,Q30
68,Q142
69,Q30
70,Q30
70,Q96
71,Q30
72,Q30
73,Q142
74,Q30
75,Q30
76,Q16
76,Q17
77,Q183
77,Q30
78,Q30
79,Q30
80,Q794
81,Q30
82,Q55
82,Q31
82,Q145
82,Q142
83,Q30
84,Q30
85,Q145
85,Q30
86,Q30
86,Q145
87,Q30
88,Q30
89,Q30
90,Q30
92,Q30
92,Q145
93,Q30
94,Q30
95,Q30
96,Q145
97,Q142
98,Q145
98,Q17
100,Q30
101,Q30
102,Q30
103,Q30
104,Q30
105,Q30
106,Q183
107,Q30
107,Q145
109,Q30
110,Q30
111,Q30
112,Q8646
113,Q30
114,Q16
114,Q145
115,Q142
116,Q145
116,Q30
116,Q55
117,Q145
117,Q183
117,Q142
118,Q30
119,Q30
120,Q30
121,Q16
122,Q30
123,Q8646
124,Q38
125,Q30
126,Q183
126,Q30
127,Q948
127,Q142
128,Q30
129,Q30
130,Q30
131,Q27
131,Q145
131,Q142
131,Q30
132,Q30
133,Q786
135,Q30
136,Q30
137,Q30
137,Q145
138,Q145
138,Q29
139,Q668
140,Q30
141,Q30
142,Q36
143,Q224
143,Q16
143,Q30
144,Q30
145,Q30
146,Q30
147,Q30
148,Q145
149,Q30
149,Q145
149,Q142
150,Q30
150,Q145
150,Q16
150,Q17
151,Q145
151,Q30
152,Q30
153,Q30
153,Q145
154,Q142
154,Q38
155,Q145
155,Q30
156,Q30
157,Q30
157,Q16
158,Q30
159,Q30
160,Q30
161,Q30
163,Q30
163,Q96
164,Q30
165,Q30
166,Q30
166,Q142
167,Q145
167,Q30
168,Q30
168,Q145
169,Q142
169,Q30
170,Q30
171,Q30
172,Q16
172,Q30
173,Q30
173,Q55
173,Q145
174,Q30
175,Q30
176,Q30
177,Q30
177,Q145
178,Q16
179,Q30
180,Q30
181,Q30
181,Q17
181,Q408
181,Q664
182,Q145
182,Q30
182,Q16
183,Q145
183,Q159
183,Q183
184,Q30
185,Q30
186,Q30
187,Q30
188,Q30
189,Q30
190,Q30
190,Q145
191,Q30
193,Q142
193,Q30
194,Q183
194,Q17
194,Q30
195,Q30
196,Q30
197,Q30
198,Q30
199,Q142
199,Q713750
200,Q30
201,Q30
202,Q145
202,Q142
202,Q31
203,Q30
204,Q30
205,Q30
207,Q30
207,Q96
208,Q30
209,Q142
209,Q30
210,Q30
211,Q145
212,Q30
213,Q159
213,Q142
214,Q145
214,Q142
214,Q221
215,Q30
215,Q40
216,Q30
217,Q30
218,Q30
218,Q142
219,Q30
220,Q30
220,Q38
222,Q27
222,Q30
222,Q145
223,Q30
225,Q30
226,Q16
226,Q30
227,Q30
228,Q30
229,Q145
229,Q142
230,Q30
231,Q30
232,Q22502
232,Q30
233,Q16
234,Q30
235,Q30
236,Q145
236,Q30
236,Q142
237,Q30
238,Q30
239,Q30
239,Q408
239,Q142
239,Q16
239,Q29
240,Q30
240,Q16
241,Q30
242,Q142
242,Q38
242,Q31
242,Q145
243,Q30
244,Q30
245,Q142
245,Q30
247,Q664
247,Q183
248,Q30
249,Q145
249,Q30
250,Q30
251,Q30
252,Q30
253,Q30
254,Q30
254,Q142
255,Q30
256,Q30
257,Q30
258,Q145
258,Q28
258,Q30
259,Q30
260,Q30
261,Q30
261,Q16
262,Q30
263,Q145
264,Q142
265,Q96
266,Q30
267,Q30
268,Q30
269,Q30
269,Q145
270,Q30
271,Q30
272,Q145
272,Q30
